trial_num,door,cost,object,target,unique_id,age
1,closed,low,hat,0.07,6152108e8c499f49ce051192,60
2,closed,none,string,0.61,6152108e8c499f49ce051192,60
1,open,low,chair,0.2,612ad841ec22658514a7cff5,33
2,open,none,books,0.44,612ad841ec22658514a7cff5,33
1,closed,low,string,1,55a5f19bfdf99b28b5340d00,59
2,closed,none,plant,0,55a5f19bfdf99b28b5340d00,59
1,open,low,cinderblocks,0.87,60feba907cda681c2cf6cb07,27
2,closed,none,tape,0.19,60feba907cda681c2cf6cb07,27
1,closed,low,plant,0.25,5aa117356475f90001a02fd6,36
2,open,none,chair,0.96,5aa117356475f90001a02fd6,36
1,closed,low,hat,0.56,612ee86a0eed39724a756615,20
2,closed,none,string,0.78,612ee86a0eed39724a756615,20
1,closed,low,string,1,5f3ae1d68c88967a1d3b86c0,26
2,closed,none,plant,0.28,5f3ae1d68c88967a1d3b86c0,26
1,closed,low,tape,0.61,617390ea6b825a0eb8904f29,37
2,open,none,rulers,0.62,617390ea6b825a0eb8904f29,37
1,open,low,rulers,0.52,60d7d7ded1d0c3bb77c7c34f,19
2,closed,none,hat,0.22,60d7d7ded1d0c3bb77c7c34f,19
1,open,low,books,0.23,5f19d2a727990706dd0f5f5b,51
2,open,none,cinderblocks,0.94,5f19d2a727990706dd0f5f5b,51
