target,trial,object,condition,unique_id,age
0,exclusion_2,tape,low,5f14b46fefc95253caca20b4,45
1,trial_1,stanchion,low,5a4afdd835c9d50001fdd1c0,33
1,exclusion_1,stanchion,low,5a4afdd835c9d50001fdd1c0,33
0,exclusion_2,stanchion,low,5a4afdd835c9d50001fdd1c0,33
1,trial_1,tape,low,5c8974ef34daa70015e92daf,33
1,exclusion_1,tape,low,5c8974ef34daa70015e92daf,33
0,exclusion_2,tape,low,5c8974ef34daa70015e92daf,33
1,trial_1,cone,low,56a38b45dbe850000cfd50c3,26
1,exclusion_1,cone,low,56a38b45dbe850000cfd50c3,26
0,exclusion_2,cone,low,56a38b45dbe850000cfd50c3,26
1,trial_1,stanchion,low,63d04a5f7878a7b80ffc1a23,30
1,exclusion_1,stanchion,low,63d04a5f7878a7b80ffc1a23,30
0,exclusion_2,stanchion,low,63d04a5f7878a7b80ffc1a23,30
1,trial_1,tape,low,6157d22b9998f96a77f41567,54
1,exclusion_1,tape,low,6157d22b9998f96a77f41567,54
0,exclusion_2,tape,low,6157d22b9998f96a77f41567,54
1,trial_1,stanchion,low,6119f072d0cc4321ea520759,33
1,exclusion_1,stanchion,low,6119f072d0cc4321ea520759,33
1,exclusion_2,stanchion,low,6119f072d0cc4321ea520759,33
