Key,CompletionDate,UserID,Object,CostCondition,Counterbalancing,DoorChoice,HighCost,Difficulty
209,2018-04-10 15:04:10,9sRUwvB,plant,low,0,ClearDoor,TargetDoor,Yes
210,2018-04-10 15:04:20,Ua9Yur2,string,none,1,ModifiedDoor,BaseDoor,Yes
211,2018-04-10 15:06:03,P95JPrU,chair,low,1,ClearDoor,TargetDoor,Yes
212,2018-04-10 15:06:18,qP5lavY,chair,low,0,ClearDoor,TargetDoor,Yes
213,2018-04-10 15:06:30,iRkSYHT,string,low,1,ClearDoor,TargetDoor,Yes
214,2018-04-10 15:06:57,yiG8bJl,books,none,0,ModifiedDoor,TargetDoor,Yes
215,2018-04-10 15:07:14,knUUMrp,hat,none,0,ClearDoor,equal,Yes
216,2018-04-10 15:07:40,n5TTqPu,rulers,low,1,ClearDoor,BaseDoor,No
217,2018-04-10 15:07:55,D7nzKtU,tape,low,0,ClearDoor,TargetDoor,No
218,2018-04-10 15:08:29,HEfNW9m,books,none,0,ModifiedDoor,equal,Yes
219,2018-04-10 15:09:19,Rj1I1v4,string,low,0,ClearDoor,TargetDoor,Yes
220,2018-04-10 15:09:22,jrGRRt1,books,low,0,ModifiedDoor,TargetDoor,Yes
221,2018-04-10 15:10:11,bpseqxY,cinderblocks,none,1,ClearDoor,TargetDoor,No
222,2018-04-10 15:10:12,KxjKRFD,books,none,1,ClearDoor,TargetDoor,Yes
223,2018-04-10 15:11:08,phnV1sf,hat,low,1,ModifiedDoor,TargetDoor,Yes
224,2018-04-10 15:11:20,I9lUN97,hat,low,0,ClearDoor,TargetDoor,Yes
225,2018-04-10 15:11:59,sO1ePFn,chair,low,0,ClearDoor,TargetDoor,Yes
226,2018-04-10 15:12:22,ubUf2JM,hat,none,0,ModifiedDoor,TargetDoor,Yes
227,2018-04-10 15:12:29,MW8naNB,string,low,0,ClearDoor,TargetDoor,Yes
228,2018-04-10 15:12:55,Qn7RKBP,plant,none,0,ClearDoor,TargetDoor,Yes
229,2018-04-10 15:14:21,MA4Zc8x,cinderblocks,none,1,ModifiedDoor,equal,Yes
230,2018-04-10 15:14:22,y2h0nCo,books,low,1,ClearDoor,TargetDoor,Yes
231,2018-04-10 15:16:20,,chair,none,0,ModifiedDoor,equal,Yes
232,2018-04-10 15:17:19,lCAtsro,books,none,0,ModifiedDoor,TargetDoor,Yes
233,2018-04-10 15:18:05,bYM1uju,cinderblocks,none,0,ClearDoor,TargetDoor,Yes
234,2018-04-10 15:19:11,sVISYsI,rulers,none,0,ClearDoor,TargetDoor,Yes
235,2018-04-10 15:22:41,zbAnhry,rulers,none,1,ClearDoor,equal,Yes
236,2018-04-10 15:24:50,dQVetlP,chair,none,1,ClearDoor,equal,Yes
237,2018-04-10 15:29:02,senvCN8,cinderblocks,none,1,ClearDoor,equal,Yes
238,2018-04-10 15:30:58,uVSf5NV,rulers,low,1,ClearDoor,TargetDoor,Yes
239,2018-04-10 15:31:10,foR8RVf,tape,low,1,ClearDoor,TargetDoor,Yes
240,2018-04-10 15:31:32,7TjLeRO,rulers,none,1,ClearDoor,equal,Yes
241,2018-04-10 15:32:05,5uEu57V,chair,none,0,ClearDoor,equal,Yes
242,2018-04-10 15:32:12,8IwAfho,cinderblocks,low,0,ClearDoor,TargetDoor,Yes
243,2018-04-10 15:32:24,DdJy57V,tape,low,1,ClearDoor,TargetDoor,Yes
244,2018-04-10 15:33:06,3HmtWzv,hat,none,0,ModifiedDoor,TargetDoor,Yes
245,2018-04-10 15:37:02,xAwG0mv,rulers,low,0,ClearDoor,TargetDoor,Yes
246,2018-04-10 15:38:46,7AXmFHI,plant,low,1,ClearDoor,TargetDoor,Yes
247,2018-04-10 15:38:47,,,,0,,,
248,2018-04-10 15:39:51,,,,0,,,
249,2018-04-10 15:41:15,,,,0,,,
250,2018-04-10 15:41:25,,,,0,,,
251,2018-04-10 15:44:04,,,,0,,,
252,2018-04-10 15:44:53,trYlMKh,chair,low,0,ClearDoor,TargetDoor,Yes
253,2018-04-10 15:47:12,,,,0,,,
254,2018-04-10 15:48:10,M7x7cJF,plant,low,1,ClearDoor,TargetDoor,Yes
255,2018-04-10 15:50:11,,,,0,,,
256,2018-04-10 15:51:52,vv6Jj7s,plant,low,1,ClearDoor,TargetDoor,Yes
257,2018-04-10 15:52:49,DuLw3TT,hat,low,1,ModifiedDoor,TargetDoor,Yes
258,2018-04-10 15:56:47,4UPYGnE,plant,low,1,ClearDoor,TargetDoor,Yes
259,2018-04-10 15:56:53,L83dYDz,tape,low,1,ClearDoor,TargetDoor,Yes
260,2018-04-10 15:59:58,DmPLN00,string,low,0,ClearDoor,TargetDoor,Yes
261,2018-04-10 16:09:39,3CPXISu,string,none,0,ClearDoor,TargetDoor,Yes
262,2018-04-10 16:16:56,aTQdhmo,hat,low,0,ClearDoor,TargetDoor,Yes
263,2018-04-10 16:18:37,CXbIDi6,chair,low,1,ClearDoor,BaseDoor,Yes
264,2018-04-10 16:33:53,yEPXVsu,books,none,1,ClearDoor,TargetDoor,No
265,2018-04-10 16:37:35,,,,0,,,
266,2018-04-10 16:45:48,,,,0,,,
267,2018-04-10 16:46:33,,,,0,,,
268,2018-04-10 16:47:34,,,,0,,,
269,2018-04-10 16:58:15,6A2oHNT,plant,low,1,ClearDoor,TargetDoor,Yes
270,2018-04-10 16:59:22,w9qiVkr,hat,none,0,ClearDoor,equal,Yes
271,2018-04-10 17:01:26,,,,0,,,
272,2018-04-10 17:20:24,TPYUdep,chair,low,0,ClearDoor,TargetDoor,Yes
273,2018-04-10 17:32:55,WA6SgNM,rulers,none,1,ClearDoor,equal,No
