participant,first_object,second_object,age,target,trial,condition,first_side,second_side,doors
130,string,tape,33,1,trial_3,incongruent,left,right,closed
130,string,tape,33,0.72,trial_4,incongruent,left,right,closed
130,string,tape,33,left,exclusion_1,incongruent,left,right,closed
130,string,tape,33,equal,exclusion_2,incongruent,left,right,closed
132,hat,string,44,0,trial_1,incongruent,left,right,closed
132,hat,string,44,0.39,trial_2,incongruent,left,right,closed
132,hat,string,44,0,trial_3,incongruent,left,right,closed
132,hat,string,44,0.82,trial_4,incongruent,left,right,closed
132,hat,string,44,left,exclusion_1,incongruent,left,right,closed
132,hat,string,44,equal,exclusion_2,incongruent,left,right,closed
133,hat,string,NA,1,trial_1,incongruent,right,right,closed
133,hat,string,NA,0.88,trial_2,incongruent,right,right,closed
133,hat,string,NA,1,trial_3,incongruent,right,right,closed
133,hat,string,NA,0,trial_4,incongruent,right,right,closed
133,hat,string,NA,right,exclusion_1,incongruent,right,right,closed
133,hat,string,NA,equal,exclusion_2,incongruent,right,right,closed
135,hat,plant,21,0,trial_1,incongruent,left,left,closed
135,hat,plant,21,1,trial_2,incongruent,left,left,closed
135,hat,plant,21,1,trial_3,incongruent,left,left,closed
135,hat,plant,21,0.58,trial_4,incongruent,left,left,closed
135,hat,plant,21,left,exclusion_1,incongruent,left,left,closed
135,hat,plant,21,equal,exclusion_2,incongruent,left,left,closed
136,hat,plant,25,0,trial_1,incongruent,left,right,closed
136,hat,plant,25,0.75,trial_2,incongruent,left,right,closed
136,hat,plant,25,0,trial_3,incongruent,left,right,closed
136,hat,plant,25,0.79,trial_4,incongruent,left,right,closed
136,hat,plant,25,left,exclusion_1,incongruent,left,right,closed
136,hat,plant,25,equal,exclusion_2,incongruent,left,right,closed
138,hat,tape,60,0,trial_1,incongruent,right,right,closed
138,hat,tape,60,0.99,trial_2,incongruent,right,right,closed
138,hat,tape,60,0,trial_3,incongruent,right,right,closed
138,hat,tape,60,0.99,trial_4,incongruent,right,right,closed
138,hat,tape,60,right,exclusion_1,incongruent,right,right,closed
138,hat,tape,60,equal,exclusion_2,incongruent,right,right,closed
139,hat,tape,34,1,trial_1,incongruent,left,left,closed
139,hat,tape,34,0.45,trial_2,incongruent,left,left,closed
139,hat,tape,34,1,trial_3,incongruent,left,left,closed
139,hat,tape,34,0.77,trial_4,incongruent,left,left,closed
139,hat,tape,34,left,exclusion_1,incongruent,left,left,closed
139,hat,tape,34,equal,exclusion_2,incongruent,left,left,closed
140,hat,tape,38,0,trial_1,incongruent,left,right,closed
140,hat,tape,38,0.84,trial_2,incongruent,left,right,closed
140,hat,tape,38,0,trial_3,incongruent,left,right,closed
140,hat,tape,38,0.65,trial_4,incongruent,left,right,closed
140,hat,tape,38,left,exclusion_1,incongruent,left,right,closed
140,hat,tape,38,equal,exclusion_2,incongruent,left,right,closed
141,plant,string,27,1,trial_1,incongruent,right,left,closed
141,plant,string,27,1,trial_2,incongruent,right,left,closed
141,plant,string,27,0,trial_3,incongruent,right,left,closed
141,plant,string,27,0.92,trial_4,incongruent,right,left,closed
141,plant,string,27,right,exclusion_1,incongruent,right,left,closed
141,plant,string,27,equal,exclusion_2,incongruent,right,left,closed
143,plant,string,69,1,trial_1,incongruent,left,left,closed
143,plant,string,69,0.65,trial_2,incongruent,left,left,closed
143,plant,string,69,1,trial_3,incongruent,left,left,closed
143,plant,string,69,0.8,trial_4,incongruent,left,left,closed
143,plant,string,69,left,exclusion_1,incongruent,left,left,closed
143,plant,string,69,equal,exclusion_2,incongruent,left,left,closed
144,plant,hat,31,1,trial_1,incongruent,right,right,closed
144,plant,hat,31,0.79,trial_2,incongruent,right,right,closed
144,plant,hat,31,1,trial_3,incongruent,right,right,closed
144,plant,hat,31,0.56,trial_4,incongruent,right,right,closed
144,plant,hat,31,right,exclusion_1,incongruent,right,right,closed
144,plant,hat,31,equal,exclusion_2,incongruent,right,right,closed
146,plant,hat,44,0,trial_1,incongruent,right,left,closed
146,plant,hat,44,0.93,trial_2,incongruent,right,left,closed
146,plant,hat,44,0,trial_3,incongruent,right,left,closed
146,plant,hat,44,0.95,trial_4,incongruent,right,left,closed
146,plant,hat,44,right,exclusion_1,incongruent,right,left,closed
146,plant,hat,44,left,exclusion_2,incongruent,right,left,closed
147,plant,tape,36,1,trial_1,incongruent,left,right,closed
147,plant,tape,36,0.74,trial_2,incongruent,left,right,closed
147,plant,tape,36,1,trial_3,incongruent,left,right,closed
147,plant,tape,36,0.73,trial_4,incongruent,left,right,closed
147,plant,tape,36,left,exclusion_1,incongruent,left,right,closed
147,plant,tape,36,equal,exclusion_2,incongruent,left,right,closed
148,plant,tape,28,0,trial_1,incongruent,left,left,closed
148,plant,tape,28,0.93,trial_2,incongruent,left,left,closed
148,plant,tape,28,0,trial_3,incongruent,left,left,closed
148,plant,tape,28,0.82,trial_4,incongruent,left,left,closed
148,plant,tape,28,left,exclusion_1,incongruent,left,left,closed
148,plant,tape,28,left,exclusion_2,incongruent,left,left,closed
149,plant,tape,39,1,trial_1,incongruent,right,right,closed
149,plant,tape,39,1,trial_2,incongruent,right,right,closed
149,plant,tape,39,1,trial_3,incongruent,right,right,closed
149,plant,tape,39,1,trial_4,incongruent,right,right,closed
149,plant,tape,39,right,exclusion_1,incongruent,right,right,closed
149,plant,tape,39,equal,exclusion_2,incongruent,right,right,closed
150,plant,tape,27,0,trial_1,incongruent,left,right,closed
150,plant,tape,27,0.51,trial_2,incongruent,left,right,closed
150,plant,tape,27,0,trial_3,incongruent,left,right,closed
150,plant,tape,27,0.47,trial_4,incongruent,left,right,closed
150,plant,tape,27,left,exclusion_1,incongruent,left,right,closed
150,plant,tape,27,left,exclusion_2,incongruent,left,right,closed
151,tape,string,28,1,trial_1,incongruent,right,right,closed
151,tape,string,28,0.97,trial_2,incongruent,right,right,closed
151,tape,string,28,1,trial_3,incongruent,right,right,closed
151,tape,string,28,0.11,trial_4,incongruent,right,right,closed
151,tape,string,28,right,exclusion_1,incongruent,right,right,closed
151,tape,string,28,equal,exclusion_2,incongruent,right,right,closed
152,tape,string,34,1,trial_1,incongruent,left,left,closed
152,tape,string,34,0.77,trial_2,incongruent,left,left,closed
152,tape,string,34,1,trial_3,incongruent,left,left,closed
152,tape,string,34,0.21,trial_4,incongruent,left,left,closed
152,tape,string,34,left,exclusion_1,incongruent,left,left,closed
152,tape,string,34,left,exclusion_2,incongruent,left,left,closed
155,tape,hat,55,1,trial_1,incongruent,right,left,closed
155,tape,hat,55,0.81,trial_2,incongruent,right,left,closed
155,tape,hat,55,0,trial_3,incongruent,right,left,closed
155,tape,hat,55,0.68,trial_4,incongruent,right,left,closed
155,tape,hat,55,right,exclusion_1,incongruent,right,left,closed
155,tape,hat,55,equal,exclusion_2,incongruent,right,left,closed
156,tape,hat,27,1,trial_1,incongruent,right,right,closed
156,tape,hat,27,0.85,trial_2,incongruent,right,right,closed
156,tape,hat,27,0,trial_3,incongruent,right,right,closed
156,tape,hat,27,0.32,trial_4,incongruent,right,right,closed
156,tape,hat,27,right,exclusion_1,incongruent,right,right,closed
156,tape,hat,27,equal,exclusion_2,incongruent,right,right,closed
159,tape,plant,26,0,trial_1,incongruent,right,right,closed
159,tape,plant,26,0.67,trial_2,incongruent,right,right,closed
159,tape,plant,26,0,trial_3,incongruent,right,right,closed
159,tape,plant,26,0.79,trial_4,incongruent,right,right,closed
159,tape,plant,26,right,exclusion_1,incongruent,right,right,closed
159,tape,plant,26,left,exclusion_2,incongruent,right,right,closed
160,tape,plant,31,1,trial_1,incongruent,right,right,closed
160,tape,plant,31,0.93,trial_2,incongruent,right,right,closed
160,tape,plant,31,0,trial_3,incongruent,right,right,closed
160,tape,plant,31,0.78,trial_4,incongruent,right,right,closed
160,tape,plant,31,right,exclusion_1,incongruent,right,right,closed
160,tape,plant,31,equal,exclusion_2,incongruent,right,right,closed
