workerid,exclusion_num,trial_num,target,first_object,second_object
5,NA,1,"""0""",hat,hat
5,NA,2,0.98,hat,hat
5,NA,3,"""0""",hat,hat
5,NA,4,0.96,hat,hat
5,1,NA,"""equal""",hat,hat
5,2,NA,"""equal""",hat,hat
6,NA,1,"""1""",hat,hat
6,NA,2,0.49,hat,hat
6,NA,3,"""0""",hat,hat
6,NA,4,0.49,hat,hat
6,1,NA,"""left""",hat,hat
6,2,NA,"""equal""",hat,hat
7,NA,1,"""0""",hat,hat
7,NA,2,0.66,hat,hat
7,NA,3,"""0""",hat,hat
7,NA,4,0.75,hat,hat
7,1,NA,"""left""",hat,hat
7,2,NA,"""equal""",hat,hat
8,NA,1,"""0""",hat,hat
8,NA,2,0.9,hat,hat
8,NA,3,"""0""",hat,hat
8,NA,4,0.94,hat,hat
8,1,NA,"""left""",hat,hat
8,2,NA,"""equal""",hat,hat
9,NA,1,"""0""",hat,hat
9,NA,2,0.39,hat,hat
9,NA,3,"""0""",hat,hat
9,NA,4,0.58,hat,hat
9,1,NA,"""left""",hat,hat
9,2,NA,"""equal""",hat,hat
0,NA,1,"""1""",plant,plant
0,NA,2,0.58,plant,plant
0,NA,3,"""1""",plant,plant
0,NA,4,1,plant,plant
0,1,NA,"""right""",plant,plant
0,2,NA,"""equal""",plant,plant
1,NA,1,"""1""",plant,plant
1,NA,2,0.94,plant,plant
1,NA,3,"""1""",plant,plant
1,NA,4,0.93,plant,plant
1,1,NA,"""left""",plant,plant
1,2,NA,"""equal""",plant,plant
2,NA,1,"""1""",plant,plant
2,NA,2,0.8,plant,plant
2,NA,3,"""0""",plant,plant
2,NA,4,0.68,plant,plant
2,1,NA,"""left""",plant,plant
2,2,NA,"""equal""",plant,plant
3,NA,1,"""0""",plant,plant
3,NA,2,0.81,plant,plant
3,NA,3,"""1""",plant,plant
3,NA,4,0.73,plant,plant
3,1,NA,"""right""",plant,plant
3,2,NA,"""left""",plant,plant
4,NA,1,"""1""",plant,plant
4,NA,2,0.69,plant,plant
4,NA,3,"""1""",plant,plant
4,NA,4,0.88,plant,plant
4,1,NA,"""right""",plant,plant
4,2,NA,"""equal""",plant,plant
5,NA,1,"""0""",plant,plant
5,NA,2,0.91,plant,plant
5,NA,3,"""0""",plant,plant
5,NA,4,0.94,plant,plant
5,1,NA,"""left""",plant,plant
5,2,NA,"""equal""",plant,plant
6,NA,1,"""0""",plant,plant
6,NA,2,0.65,plant,plant
6,NA,3,"""0""",plant,plant
6,NA,4,0.75,plant,plant
6,1,NA,"""right""",plant,plant
6,2,NA,"""equal""",plant,plant
7,NA,1,"""0""",plant,plant
7,NA,2,0.7,plant,plant
7,NA,3,"""0""",plant,plant
7,NA,4,0.63,plant,plant
7,1,NA,"""left""",plant,plant
7,2,NA,"""right""",plant,plant
8,NA,1,"""1""",plant,plant
8,NA,2,0.55,plant,plant
8,NA,3,"""1""",plant,plant
8,NA,4,0.74,plant,plant
8,1,NA,"""left""",plant,plant
8,2,NA,"""equal""",plant,plant
9,NA,1,"""0""",plant,plant
9,NA,2,1,plant,plant
9,NA,3,"""0""",plant,plant
9,NA,4,1,plant,plant
9,1,NA,"""left""",plant,plant
9,2,NA,"""equal""",plant,plant
0,NA,1,"""1""",rulers,rulers
0,NA,2,1,rulers,rulers
0,NA,3,"""1""",rulers,rulers
0,NA,4,1,rulers,rulers
0,1,NA,"""right""",rulers,rulers
0,2,NA,"""left""",rulers,rulers
1,NA,1,"""1""",rulers,rulers
1,NA,2,0.64,rulers,rulers
1,NA,3,"""1""",rulers,rulers
1,NA,4,0.84,rulers,rulers
1,1,NA,"""right""",rulers,rulers
1,2,NA,"""right""",rulers,rulers
2,NA,1,"""1""",rulers,rulers
2,NA,2,0.91,rulers,rulers
2,NA,3,"""1""",rulers,rulers
2,NA,4,0.99,rulers,rulers
2,1,NA,"""left""",rulers,rulers
2,2,NA,"""equal""",rulers,rulers
3,NA,1,"""1""",rulers,rulers
3,NA,2,0.87,rulers,rulers
3,NA,3,"""1""",rulers,rulers
3,NA,4,0.9,rulers,rulers
3,1,NA,"""equal""",rulers,rulers
3,2,NA,"""equal""",rulers,rulers
4,NA,1,"""0""",rulers,rulers
4,NA,2,1,rulers,rulers
4,NA,3,"""0""",rulers,rulers
4,NA,4,0.93,rulers,rulers
4,1,NA,"""equal""",rulers,rulers
4,2,NA,"""equal""",rulers,rulers
5,NA,1,"""1""",rulers,rulers
5,NA,2,0.66,rulers,rulers
5,NA,3,"""1""",rulers,rulers
5,NA,4,0.71,rulers,rulers
5,1,NA,"""right""",rulers,rulers
5,2,NA,"""equal""",rulers,rulers
6,NA,1,"""1""",rulers,rulers
6,NA,2,0.62,rulers,rulers
6,NA,3,"""1""",rulers,rulers
6,NA,4,0.68,rulers,rulers
6,1,NA,"""left""",rulers,rulers
6,2,NA,"""equal""",rulers,rulers
7,NA,1,"""1""",rulers,rulers
7,NA,2,0.89,rulers,rulers
7,NA,3,"""1""",rulers,rulers
7,NA,4,0.95,rulers,rulers
7,1,NA,"""right""",rulers,rulers
7,2,NA,"""equal""",rulers,rulers
8,NA,1,"""1""",rulers,rulers
8,NA,2,0.86,rulers,rulers
8,NA,3,"""1""",rulers,rulers
8,NA,4,0.44,rulers,rulers
8,1,NA,"""right""",rulers,rulers
8,2,NA,"""right""",rulers,rulers
9,NA,1,"""1""",rulers,rulers
9,NA,2,0.35,rulers,rulers
9,NA,3,"""0""",rulers,rulers
9,NA,4,0.34,rulers,rulers
9,1,NA,"""left""",rulers,rulers
9,2,NA,"""equal""",rulers,rulers
0,NA,1,"""1""",tape,tape
0,NA,2,0.56,tape,tape
0,NA,3,"""1""",tape,tape
0,NA,4,0.52,tape,tape
0,1,NA,"""right""",tape,tape
0,2,NA,"""equal""",tape,tape
1,NA,1,"""1""",tape,tape
1,NA,2,1,tape,tape
1,NA,3,"""1""",tape,tape
1,NA,4,1,tape,tape
1,1,NA,"""left""",tape,tape
1,2,NA,"""equal""",tape,tape
2,NA,1,"""1""",tape,tape
2,NA,2,0.98,tape,tape
2,NA,3,"""1""",tape,tape
2,NA,4,1,tape,tape
2,1,NA,"""right""",tape,tape
2,2,NA,"""equal""",tape,tape
3,NA,1,"""1""",tape,tape
3,NA,2,0.75,tape,tape
3,NA,3,"""1""",tape,tape
3,NA,4,0.49,tape,tape
3,1,NA,"""right""",tape,tape
3,2,NA,"""equal""",tape,tape
4,NA,1,"""1""",tape,tape
4,NA,2,0.85,tape,tape
4,NA,3,"""1""",tape,tape
4,NA,4,0.59,tape,tape
4,1,NA,"""left""",tape,tape
4,2,NA,"""equal""",tape,tape
5,NA,1,"""1""",tape,tape
5,NA,2,0.97,tape,tape
5,NA,3,"""1""",tape,tape
5,NA,4,0.96,tape,tape
5,1,NA,"""left""",tape,tape
5,2,NA,"""equal""",tape,tape
6,NA,1,"""0""",tape,tape
6,NA,2,0.49,tape,tape
6,NA,3,"""0""",tape,tape
6,NA,4,0.6,tape,tape
6,1,NA,"""right""",tape,tape
6,2,NA,"""right""",tape,tape
7,NA,1,"""1""",tape,tape
7,NA,2,0.91,tape,tape
7,NA,3,"""1""",tape,tape
7,NA,4,0.69,tape,tape
7,1,NA,"""left""",tape,tape
7,2,NA,"""equal""",tape,tape
8,NA,1,"""1""",tape,tape
8,NA,2,0.5,tape,tape
8,NA,3,"""1""",tape,tape
8,NA,4,0.28,tape,tape
8,1,NA,"""right""",tape,tape
8,2,NA,"""equal""",tape,tape
9,NA,1,"""1""",tape,tape
9,NA,2,0.74,tape,tape
9,NA,3,"""1""",tape,tape
9,NA,4,0.68,tape,tape
9,1,NA,"""left""",tape,tape
9,2,NA,"""equal""",tape,tape
